ID_DATASET;ID_PONTO_VENDA;NOME_PONTO_VENDA;PERFIL_PONTO_VENDA;DATA;ID_LINHA_PRODUTO;NOME_LINHA_PRODUTO;MARCA_LINHA_PRODUTO;TIPO_COLETA;VALOR
1021;115;INVOLVES;ATACADAO;01/09/2020;398;BISCOITOS SORTIDOS;INVOLVES ZERO;DISPONIBILIDADE;SIM
1022;115;INVOLVES;ATACADAO;02/09/2020;407;MARGARINA;INVOLVES ZERO;DISPONIBILIDADE;SIM
1023;115;INVOLVES;ATACADAO;03/09/2020;408;MANTEIGA;INVOLVES ZERO;DISPONIBILIDADE;SIM
1024;115;INVOLVES;ATACADAO;04/09/2020;422;LEITE EM PO;INVOLVES ZERO;DISPONIBILIDADE;NÃO
1025;115;INVOLVES;ATACADAO;05/09/2020;423;MAISENA;INVOLVES ZERO;DISPONIBILIDADE;SIM
1026;116;INVOLVES STAGE;VAREJISTA;06/09/2020;398;BISCOITOS SORTIDOS;INVOLVES ZERO;DISPONIBILIDADE;NÃO
1027;116;INVOLVES STAGE;VAREJISTA;07/09/2020;407;MARGARINA;INVOLVES ZERO;DISPONIBILIDADE;SIM
1028;116;INVOLVES STAGE;VAREJISTA;08/09/2020;408;MANTEIGA;INVOLVES ZERO;DISPONIBILIDADE;NÃO
1029;116;INVOLVES STAGE;VAREJISTA;09/09/2020;422;LEITE EM PO;INVOLVES ZERO;DISPONIBILIDADE;SIM
1030;116;INVOLVES STAGE;VAREJISTA;10/09/2020;423;MAISENA;INVOLVES ZERO;DISPONIBILIDADE;NÃO
1031;115;INVOLVES;ATACADAO;11/09/2020;398;BISCOITOS SORTIDOS;INVOLVES ZERO;DISPONIBILIDADE;SIM
1032;115;INVOLVES;ATACADAO;12/09/2020;407;MARGARINA;INVOLVES ZERO;DISPONIBILIDADE;NÃO
1033;115;INVOLVES;ATACADAO;13/09/2020;408;MANTEIGA;INVOLVES ZERO;DISPONIBILIDADE;NÃO
1034;115;INVOLVES;ATACADAO;14/09/2020;422;LEITE EM PO;INVOLVES ZERO;DISPONIBILIDADE;SIM
1035;115;INVOLVES;ATACADAO;15/09/2020;423;MAISENA;INVOLVES ZERO;DISPONIBILIDADE;SIM
1036;116;INVOLVES STAGE;VAREJISTA;16/09/2020;398;BISCOITOS SORTIDOS;INVOLVES ZERO;DISPONIBILIDADE;NÃO
1037;116;INVOLVES STAGE;VAREJISTA;17/09/2020;407;MARGARINA;INVOLVES ZERO;DISPONIBILIDADE;SIM
1038;116;INVOLVES STAGE;VAREJISTA;18/09/2020;408;MANTEIGA;INVOLVES ZERO;DISPONIBILIDADE;NÃO
1039;116;INVOLVES STAGE;VAREJISTA;19/09/2020;422;LEITE EM PO;INVOLVES ZERO;DISPONIBILIDADE;SIM
1040;116;INVOLVES STAGE;VAREJISTA;20/09/2020;423;MAISENA;INVOLVES ZERO;DISPONIBILIDADE;NÃO
1041;115;INVOLVES;ATACADAO;01/09/2020;398;BISCOITOS SORTIDOS;INVOLVES ZERO;PONTO EXTRA;3
1042;115;INVOLVES;ATACADAO;01/09/2020;407;MARGARINA;INVOLVES ZERO;PONTO EXTRA;2
1043;115;INVOLVES;ATACADAO;01/09/2020;408;MANTEIGA;INVOLVES ZERO;PONTO EXTRA;1
1044;115;INVOLVES;ATACADAO;01/09/2020;422;LEITE EM PO;INVOLVES ZERO;PONTO EXTRA;3
1045;115;INVOLVES;ATACADAO;01/09/2020;423;MAISENA;INVOLVES ZERO;PONTO EXTRA;0
1046;116;INVOLVES STAGE;VAREJISTA;01/09/2020;398;BISCOITOS SORTIDOS;INVOLVES ZERO;PONTO EXTRA;2
1047;116;INVOLVES STAGE;VAREJISTA;01/09/2020;407;MARGARINA;INVOLVES ZERO;PONTO EXTRA;3
1048;116;INVOLVES STAGE;VAREJISTA;01/09/2020;408;MANTEIGA;INVOLVES ZERO;PONTO EXTRA;4
1049;116;INVOLVES STAGE;VAREJISTA;01/09/2020;422;LEITE EM PO;INVOLVES ZERO;PONTO EXTRA;5
1050;116;INVOLVES STAGE;VAREJISTA;01/09/2020;423;MAISENA;INVOLVES ZERO;PONTO EXTRA;2
1051;115;INVOLVES;ATACADAO;01/09/2020;398;BISCOITOS SORTIDOS;INVOLVES ZERO;PONTO EXTRA;1
1052;115;INVOLVES;ATACADAO;01/09/2020;407;MARGARINA;INVOLVES ZERO;PONTO EXTRA;4
1053;115;INVOLVES;ATACADAO;01/09/2020;408;MANTEIGA;INVOLVES ZERO;PONTO EXTRA;6
1054;115;INVOLVES;ATACADAO;01/09/2020;422;LEITE EM PO;INVOLVES ZERO;PONTO EXTRA;2
1055;115;INVOLVES;ATACADAO;01/09/2020;423;MAISENA;INVOLVES ZERO;PONTO EXTRA;0
1056;116;INVOLVES STAGE;VAREJISTA;01/09/2020;398;BISCOITOS SORTIDOS;INVOLVES ZERO;PONTO EXTRA;5
1057;116;INVOLVES STAGE;VAREJISTA;01/09/2020;407;MARGARINA;INVOLVES ZERO;PONTO EXTRA;1
1058;116;INVOLVES STAGE;VAREJISTA;01/09/2020;408;MANTEIGA;INVOLVES ZERO;PONTO EXTRA;0
1059;116;INVOLVES STAGE;VAREJISTA;01/09/2020;422;LEITE EM PO;INVOLVES ZERO;PONTO EXTRA;2
1060;116;INVOLVES STAGE;VAREJISTA;01/09/2020;423;MAISENA;INVOLVES ZERO;PONTO EXTRA;1
